timestamp	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1744400073.612000	-0.000025	-0.000013	0.000014	0.013690	0.016973	0.031300	0.029816	0.025294	0.019783	0.025511	0.034436	0.020749	0.017445	0.023042	0.019476	0.016145
1744400073.616000	-0.000026	-0.000011	0.000008	0.013697	0.016969	0.031312	0.029811	0.025295	0.019781	0.025507	0.034426	0.020750	0.017447	0.023051	0.019478	0.016164
1744400073.620000	-0.000037	-0.000008	-0.000000	0.013701	0.016963	0.031324	0.029807	0.025296	0.019780	0.025501	0.034416	0.020751	0.017447	0.023058	0.019481	0.016181
1744400073.624000	-0.000033	-0.000004	0.000004	0.013700	0.016963	0.031317	0.029810	0.025294	0.019787	0.025501	0.034423	0.020750	0.017445	0.023054	0.019480	0.016175
1744400073.628000	-0.000022	-0.000003	0.000008	0.013689	0.016962	0.031298	0.029807	0.025279	0.019777	0.025485	0.034423	0.020742	0.017442	0.023039	0.019467	0.016148
1744400073.632000	-0.000020	-0.000006	0.000012	0.013683	0.016965	0.031288	0.029807	0.025274	0.019776	0.025480	0.034425	0.020731	0.017442	0.023033	0.019462	0.016127
1744400073.636000	-0.000022	-0.000008	0.000011	0.013689	0.016962	0.031300	0.029806	0.025279	0.019780	0.025478	0.034422	0.020733	0.017446	0.023041	0.019469	0.016146
1744400073.640000	-0.000028	-0.000019	0.000010	0.013695	0.016963	0.031317	0.029806	0.025287	0.019777	0.025484	0.034422	0.020733	0.017447	0.023053	0.019476	0.016168
1744400073.644000	-0.000024	-0.000015	0.000008	0.013692	0.016958	0.031304	0.029799	0.025278	0.019766	0.025476	0.034420	0.020728	0.017443	0.023047	0.019468	0.016158
1744400073.648000	-0.000023	-0.000012	0.000010	0.013690	0.016961	0.031293	0.029803	0.025277	0.019768	0.025477	0.034424	0.020727	0.017444	0.023041	0.019468	0.016136
1744400073.652000	-0.000026	-0.000015	0.000013	0.013686	0.016966	0.031288	0.029806	0.025279	0.019769	0.025484	0.034427	0.020728	0.017445	0.023040	0.019469	0.016123
1744400073.656000	-0.000028	-0.000016	0.000013	0.013690	0.016967	0.031301	0.029802	0.025283	0.019766	0.025481	0.034420	0.020724	0.017445	0.023045	0.019471	0.016133
1744400073.660000	-0.000025	-0.000012	-0.000014	0.013697	0.016944	0.031314	0.029792	0.025290	0.019763	0.025483	0.034419	0.020729	0.017443	0.023052	0.019473	0.016158
1744400073.664000	-0.000025	-0.000016	-0.000002	0.013696	0.016949	0.031313	0.029794	0.025291	0.019762	0.025486	0.034421	0.020731	0.017443	0.023050	0.019475	0.016154
1744400073.668000	-0.000028	-0.000019	0.000006	0.013695	0.016952	0.031302	0.029795	0.025287	0.019764	0.025484	0.034420	0.020733	0.017445	0.023042	0.019472	0.016131
1744400073.672000	-0.000035	-0.000021	0.000005	0.013693	0.016949	0.031295	0.029793	0.025285	0.019761	0.025488	0.034416	0.020735	0.017443	0.023037	0.019467	0.016120
1744400073.676000	-0.000024	-0.000007	0.000002	0.013697	0.016942	0.031302	0.029784	0.025283	0.019752	0.025481	0.034410	0.020737	0.017441	0.023036	0.019462	0.016143
1744400073.680000	-0.000026	-0.000009	0.000002	0.013703	0.016939	0.031315	0.029781	0.025288	0.019739	0.025482	0.034406	0.020737	0.017441	0.023046	0.019468	0.016162
1744400073.684000	-0.000028	-0.000009	0.000008	0.013706	0.016951	0.031315	0.029789	0.025293	0.019750	0.025500	0.034414	0.020747	0.017443	0.023050	0.019474	0.016166
1744400073.688000	-0.000027	-0.000003	0.000004	0.013696	0.016944	0.031292	0.029783	0.025280	0.019748	0.025494	0.034410	0.020742	0.017434	0.023028	0.019458	0.016144
1744400073.692000	-0.000018	-0.000003	0.000009	0.013693	0.016948	0.031285	0.029787	0.025275	0.019753	0.025495	0.034417	0.020739	0.017434	0.023019	0.019453	0.016126
1744400073.696000	-0.000019	-0.000010	0.000008	0.013696	0.016947	0.031296	0.029786	0.025279	0.019757	0.025497	0.034419	0.020738	0.017438	0.023029	0.019459	0.016142
1744400073.700000	-0.000028	-0.000012	0.000000	0.013697	0.016941	0.031308	0.029782	0.025282	0.019759	0.025500	0.034413	0.020739	0.017436	0.023038	0.019464	0.016167
1744400073.704000	-0.000021	-0.000003	0.000002	0.013699	0.016939	0.031300	0.029782	0.025278	0.019758	0.025498	0.034417	0.020741	0.017435	0.023031	0.019461	0.016167
1744400073.708000	-0.000015	-0.000002	0.000003	0.013693	0.016935	0.031280	0.029778	0.025265	0.019756	0.025487	0.034414	0.020736	0.017429	0.023013	0.019447	0.016141
1744400073.712000	-0.000016	-0.000007	0.000007	0.013689	0.016941	0.031274	0.029782	0.025262	0.019757	0.025485	0.034413	0.020732	0.017430	0.023009	0.019446	0.016121
1744400073.716000	-0.000025	-0.000013	0.000010	0.013697	0.016949	0.031291	0.029787	0.025270	0.019763	0.025488	0.034414	0.020735	0.017437	0.023022	0.019456	0.016139
1744400073.720000	-0.000026	-0.000015	-0.000006	0.013697	0.016930	0.031300	0.029780	0.025271	0.019756	0.025482	0.034413	0.020733	0.017431	0.023027	0.019458	0.016158
1744400073.724000	-0.000024	-0.000008	0.000002	0.013699	0.016942	0.031298	0.029787	0.025272	0.019758	0.025484	0.034417	0.020738	0.017433	0.023029	0.019461	0.016161
1744400073.728000	-0.000023	-0.000010	0.000004	0.013695	0.016948	0.031285	0.029791	0.025267	0.019755	0.025478	0.034421	0.020735	0.017432	0.023020	0.019458	0.016136
